,comment,time
12,actually you are getting a logitech g pro in 1/3 of price…,Reviewed in India on 20 January 2023
13,"Very good producted late model mouse… wireless… superb for using, so well!",Reviewed in India on 19 January 2023
14,very well thought mouse...both for left and right handers...im using it to play csgo and love it...used a few pretty good lightweight honeycomb wired mouses b4 and this wireless mouse is on par with them ..love it...,"Reviewed in India on February 5, 2023"
15,"Play Video
 My mouse was working great for the first 3-4 months, but after that when I noticed scrolling issues I waited for a month to see if my laptop was an issue. After that I checked with multiple laptops and desktops and realised the mouse scroll wasn't working properly. I sent the product by RMA (which was quite fast) but they said they checked the product and didn't find any issue and sent it right back. I am now stuck with a mouse whose scroll isn't working and it hasn't even been 1 year yet. Go for this product on your own risk because cosmic byte warranty support is garbage.","Reviewed in India on February 3, 2023"
16,In 7 days wireless stopped working and after wired also sensor not working everything I tried but didn't solve,Reviewed in India on 20 January 2023
17,This product is much more good than my expectation at this price range,Reviewed in India on 19 January 2023
18,"Great gaming mouse. Amazing value for money. As good as any of the 5k gaming mice from more expensive brands such as Razr or logitech. Lots of customisable settings, great DPI and frequency. Overall amazing.","Reviewed in India on January 9, 2023"
19,The build is ok ok but the performance of the mouse is insane..,"Reviewed in India on December 27, 2022"
20,Total waste of money. Too laggy. Not accurate.,"Reviewed in India on December 14, 2022"
21,"Pros
Great Mouse, Superb for Gaming, Good Sensor, No Lag while Gaming in Wireless Mode, Works both wired and wireless, Very Light. Good Software, Long Battery Life, Quick Charging.
Cons
RGB light is not constant all over, some part are dull while some part is normal (color should be constant from left to right), Build Quality is not that great, Very plasticy, Reddragon M808 build quality is far better.

OVERALL Great Mouse for the price, You can buy it and will not regret it, Great Wireless Gaming Mouse at this price are very rare..","Reviewed in India on December 11, 2022"
22,,"Reviewed in India on November 16, 2022"
23,"First i was skeptical to buy this mouse because there is not enough information on the internet about the latency test of this mouse. But I take the risk and ordered it. Now after using it for a month now I can tell that this is amazing mouse under 3k. No latency at all whether you play valorant, csgo or any other games. Note:- ( If you have desktop then use dongle extender provided in the package for low latency. I have laptop so there is no use of dongle extender)

Battery life is also good about 60+ hours of play time on one full charge. Charging time less than 2 hrs.

This mouse is for medium to large hands people. Small hands people will struggle for a day or two, like me.
If you have 3k and finding a wireless mouse then go for it.","Reviewed in India on November 15, 2022"
24,I'm facing problem of lag in betweem games and its not fitting in my palm.,"Reviewed in India on November 12, 2022"
25,Maza aaaya lekr,"Reviewed in India on November 10, 2022"
26,In 7 days wireless stopped working and after wired also sensor not working everything I tried but didn't solve,Reviewed in India on 20 January 2023
27,This product is much more good than my expectation at this price range,Reviewed in India on 19 January 2023
28,"Great gaming mouse. Amazing value for money. As good as any of the 5k gaming mice from more expensive brands such as Razr or logitech. Lots of customisable settings, great DPI and frequency. Overall amazing.","Reviewed in India on January 9, 2023"
29,The build is ok ok but the performance of the mouse is insane..,"Reviewed in India on December 27, 2022"
30,Total waste of money. Too laggy. Not accurate.,"Reviewed in India on December 14, 2022"
31,"Pros
Great Mouse, Superb for Gaming, Good Sensor, No Lag while Gaming in Wireless Mode, Works both wired and wireless, Very Light. Good Software, Long Battery Life, Quick Charging.
Cons
RGB light is not constant all over, some part are dull while some part is normal (color should be constant from left to right), Build Quality is not that great, Very plasticy, Reddragon M808 build quality is far better.

OVERALL Great Mouse for the price, You can buy it and will not regret it, Great Wireless Gaming Mouse at this price are very rare..","Reviewed in India on December 11, 2022"
32,,"Reviewed in India on November 16, 2022"
33,"First i was skeptical to buy this mouse because there is not enough information on the internet about the latency test of this mouse. But I take the risk and ordered it. Now after using it for a month now I can tell that this is amazing mouse under 3k. No latency at all whether you play valorant, csgo or any other games. Note:- ( If you have desktop then use dongle extender provided in the package for low latency. I have laptop so there is no use of dongle extender)

Battery life is also good about 60+ hours of play time on one full charge. Charging time less than 2 hrs.

This mouse is for medium to large hands people. Small hands people will struggle for a day or two, like me.
If you have 3k and finding a wireless mouse then go for it.","Reviewed in India on November 15, 2022"
34,I'm facing problem of lag in betweem games and its not fitting in my palm.,"Reviewed in India on November 12, 2022"
35,Maza aaaya lekr,"Reviewed in India on November 10, 2022"
36,"Overall usability of this mouse is amazing be it while gaming or normal day to day work on pc. The battery life depends on what mode you are using RGB or Non RGB and for how long but overall in my use it can work for 4 to 5 days and that's adequate. You can use it with wire attached so no problem with charging it again and again. The only thing that makes it a little bit cheap feeling is when i squeeze the left side of the portion where my thumb usually rest, you can feel that squeezing sound but it might only be with my product so there's that. Overall accessories and the quality of usability what matters so that's best you can get at this price.",Reviewed in India on 20 January 2023
37,"Good sensor, lighting, design, battery life, customisability, etc.
Just a few things I wish it had, customisable debounce time with optional double clicking and softer switches. The clicks on the mouse are quite loud.",Reviewed in India on 19 January 2023
38,"Ergonomic
Good battery life
Bluetooth latency is very low
RGB is very good
Durable
Matte finish make it premium","Reviewed in India on October 19, 2022"
39,"Mouse click does not get registered when u game, especially in FPS games.","Reviewed in India on October 19, 2022"
40,"it stopped working after a month. Plus, the customer service of cosmic byte is abysmal. It has a 1-year warranty, I've been trying to get it replaced for the past 4 days, but their customer service is really slow and not at all helpful.

STAY AWAY FROM THIS BRAND. DO NOT TRUST LOCAL BRANDS WHEN IT COMES TO EXPENSIVE GADGETS. THEY WILL SCAM YOU.","Reviewed in India on October 17, 2022"
41,Everything is great about this mouse. Just buy it on the discounted price where it provides value for money and is better than Logitech G304,"Reviewed in India on October 11, 2022"
42,I have used many mouse for half the price but have never been more disappointed than this,"Reviewed in India on October 6, 2022"
43,Good,Reviewed in India on 20 January 2023
44,Just ok,Reviewed in India on 19 January 2023
45,"This mouse is comfortable for Huge Hands.
LED lighting is very upmarket.
Clicks are very satisfying.
Additional configurable buttons are very easy to use.
Cord is of very High quality.

Can't judge Battery since it's too early.","Reviewed in India on August 19, 2022"
46,,"Reviewed in India on August 13, 2022"
47,"I was very happy with th mosue till facing click issue. I reported the same to cosmic byte. They asked me to follow this big step by step process to verify the product is actually faulty. I completed everything and sent the product back. This process itself took 15 days.
Next comes the product inspection which took them 10 more days.
After 10 days I inquired on mail about the status dint get any response for 2 day which got me worried so I called the customer care. They gave me the updated saying we have check the product we will replace it. But since the product was out of stock I had to w8 again this was in May and June . Now I am writting this issue on July 16 and have not received the product yet.So it now 2 months that I am without my mouse.
So please please please buy this product only if you have a lot of patience and want to experience a very bad customer service.
Edit 1: Got my mouse replaced after 2.5 months of frustration. Now started having different issues with the mouse sensor not working properly. The mouse will stop moving at times for a few seconds before starting to work again. Not going to bother with asking or contacting customer care again as I don't want to go through their customer support service again. Overall will not recommend this product to anyone
as by spending a little more you will get better product for razer or other brands","Reviewed in India on August 10, 2022"
48,"Pros -
Great sensor for the price.
Suites people who uses palm grip.

Cons -
Quite heavy af tbh. It does hurt my hand after long hours of gaming.
Software is very raw. It needs more R&D ( so as the product actually )

In my opinion, the customisation that it's providing is also killing the functionality by increasing the weight. It could be a better mosue without the customisation.

Would I buy it again? No there's better options of there.
Would I suggest this to my friends? I don't think so.","Reviewed in India on August 6, 2022"
49,"No words it’s fantastic
I play valorant and its lovely nothing comes closer to it","Reviewed in India on July 16, 2022"
50,Best in class rechargeable mouse.,"Reviewed in India on June 19, 2022"
51, Grip is so amazing,"Reviewed in India on June 11, 2022"
52,"The best wireless gaming mouse in this budget. There is also one more option from Logitech,but i found a demerits of that mouse (no wired mode, no rgb).
I really recommend this mouse because of accident that happened with me. After brought this mouse i just accidentally wet my mouse with water. Then i found the issues like sudden shut down of mouse and failure of mouse in middle of valorant (that su¢ks) but it works fine with wire. I decided to replace it. But due to lazyness and plenty of patience i didnt replace it.but after 3-4 weeks it automatically works fine in wireless mode also. Because mouse also realised about my lazyness","Reviewed in India on May 13, 2022"
53,Good,Reviewed in India on 20 January 2023
54,Just ok,Reviewed in India on 19 January 2023
55,"This mouse is comfortable for Huge Hands.
LED lighting is very upmarket.
Clicks are very satisfying.
Additional configurable buttons are very easy to use.
Cord is of very High quality.

Can't judge Battery since it's too early.","Reviewed in India on August 19, 2022"
56,,"Reviewed in India on August 13, 2022"
57,"I was very happy with th mosue till facing click issue. I reported the same to cosmic byte. They asked me to follow this big step by step process to verify the product is actually faulty. I completed everything and sent the product back. This process itself took 15 days.
Next comes the product inspection which took them 10 more days.
After 10 days I inquired on mail about the status dint get any response for 2 day which got me worried so I called the customer care. They gave me the updated saying we have check the product we will replace it. But since the product was out of stock I had to w8 again this was in May and June . Now I am writting this issue on July 16 and have not received the product yet.So it now 2 months that I am without my mouse.
So please please please buy this product only if you have a lot of patience and want to experience a very bad customer service.
Edit 1: Got my mouse replaced after 2.5 months of frustration. Now started having different issues with the mouse sensor not working properly. The mouse will stop moving at times for a few seconds before starting to work again. Not going to bother with asking or contacting customer care again as I don't want to go through their customer support service again. Overall will not recommend this product to anyone
as by spending a little more you will get better product for razer or other brands","Reviewed in India on August 10, 2022"
58,"I don't have any problems with this mouse. It's perfect size, looks good, have a long lasting battery and it's software works flawlessly. It's great buy. Just go for it.",Reviewed in India on 20 January 2023
59,"Using this mouse over a month now.

Ergonomics is good no pains as such using for long hours.

Battery backup during wireless mode with RGB on was around 1 day. was playing and using for office

RGB is very good . No latency noticed while using is wireless mode during gaming.

Has software support a very good choice if you want a wired/wireless gaming mouse",Reviewed in India on 19 January 2023
60,"Returned the product after one day of usage.
Two Broad Issues
1. Inadequate Side Button Quality. The feedback of the side buttons were not as good. Felt cheap and non durable in the long run.
2. Dongle Dimensions. The USB dongle attaches very tightly to the USB ports, had to apply ample force to jerk and remove it from the laptop ports. It wasn't as smooth as other Logitech Receivers I have used. It may damage the ports if frequently removed.
One Personal Issue
1. Big for small or medium hands.","Reviewed in India on April 4, 2022"
61,Very light but slipps off,"Reviewed in India on March 19, 2022"
62,wireless sucks,"Reviewed in India on March 8, 2022"
63,"This is a perfect wireless gaming mouse made by Cosmic byte. Highly recommended for gaming and for other uses as well. The sensor, RGB and battery is just perfect. No lag at all.
Go for it bois.","Reviewed in India on March 3, 2022"
64,Nice gaming mouse at this price range for a gaming wireless but only issue if you hold it strongly it not that comfortable!,"Reviewed in India on February 22, 2022"
65,"This mouse is good all the buttons and tracking everything but only thing that worried me is it's durability , the buttons are too light for people who tap hard on left and right button i would recomend you to buy g304 instead as it's much more durable and has good build","Reviewed in India on February 12, 2022"
66,This mouse doesn't feel cheap at all apart from rattling scroll wheel which you won't even notice while using it. They say its 89 + or - 5g but surprisingly weight feels similar to my viper ultimate. Compared to my g304 weight is nicely balanced g304 feels back heavy even after using lithium aa and trust me lithium batteries are not cheap. Great mouse. I would recommend this mouse for people having medium hand. For 2700 INR it is great mouse absolutely loved it.Wished I bought this before Razer viper ultimate :(.After a week of use side buttons are really mushy and felt little dpi deviation as well.,"Reviewed in India on February 7, 2022"
67,simply awesome,"Reviewed in India on February 7, 2022"
68,"I don't have any problems with this mouse. It's perfect size, looks good, have a long lasting battery and it's software works flawlessly. It's great buy. Just go for it.",Reviewed in India on 20 January 2023
69,"Using this mouse over a month now.

Ergonomics is good no pains as such using for long hours.

Battery backup during wireless mode with RGB on was around 1 day. was playing and using for office

RGB is very good . No latency noticed while using is wireless mode during gaming.

Has software support a very good choice if you want a wired/wireless gaming mouse",Reviewed in India on 19 January 2023
70,"Returned the product after one day of usage.
Two Broad Issues
1. Inadequate Side Button Quality. The feedback of the side buttons were not as good. Felt cheap and non durable in the long run.
2. Dongle Dimensions. The USB dongle attaches very tightly to the USB ports, had to apply ample force to jerk and remove it from the laptop ports. It wasn't as smooth as other Logitech Receivers I have used. It may damage the ports if frequently removed.
One Personal Issue
1. Big for small or medium hands.","Reviewed in India on April 4, 2022"
71,Very light but slipps off,"Reviewed in India on March 19, 2022"
72,wireless sucks,"Reviewed in India on March 8, 2022"
73,"This is a perfect wireless gaming mouse made by Cosmic byte. Highly recommended for gaming and for other uses as well. The sensor, RGB and battery is just perfect. No lag at all.
Go for it bois.","Reviewed in India on March 3, 2022"
74,Nice gaming mouse at this price range for a gaming wireless but only issue if you hold it strongly it not that comfortable!,"Reviewed in India on February 22, 2022"
75,"This mouse is good all the buttons and tracking everything but only thing that worried me is it's durability , the buttons are too light for people who tap hard on left and right button i would recomend you to buy g304 instead as it's much more durable and has good build","Reviewed in India on February 12, 2022"
76,This mouse doesn't feel cheap at all apart from rattling scroll wheel which you won't even notice while using it. They say its 89 + or - 5g but surprisingly weight feels similar to my viper ultimate. Compared to my g304 weight is nicely balanced g304 feels back heavy even after using lithium aa and trust me lithium batteries are not cheap. Great mouse. I would recommend this mouse for people having medium hand. For 2700 INR it is great mouse absolutely loved it.Wished I bought this before Razer viper ultimate :(.After a week of use side buttons are really mushy and felt little dpi deviation as well.,"Reviewed in India on February 7, 2022"
77,simply awesome,"Reviewed in India on February 7, 2022"
78,"Play Video
 I think this could have been better if they would have more focused on design. But ya it's not bad at all. The looks are average.
But the performance and RGB, precision everything is just top notch. The performance is like of 10k₹ mouse.
I love everything about this mouse except it's just average design.",Reviewed in India on 20 January 2023
79,Mouse RGB stop working when i move the mouse. Go for Logitech G304,Reviewed in India on 19 January 2023
80,Very good product,"Reviewed in India on January 28, 2022"
81,"So At first i was skeptical that I got a refurbished one but as I used it I realised It was a new peice . Definitely works flawlessly with the wire . Wireless , you will see a bit of lag sometimes if the receiver is not in the direct line of contact. Overall the whole package is actually good ! The cable is of high quality . The battery stays around 4 5 days , Maybe more without the LED","Reviewed in India on January 24, 2022"
82,"A great mouse and the fact that you can customise the back cover is amazing, the connectivity is very good i can barely feel the delay and its very light weight compared to other wireless mice",
