,comment,time
21,"Battery backup very bad, doesn't stay for not even half day for you a moderate using. The phone started to hang on the first day of usage, very disappointed","Reviewed in India on January 13, 2023"
22,Good mobile redmi 10 Pro Max best mobile and camera and battery long life good mobile,"Reviewed in India on January 11, 2023"
23,,"Reviewed in India on January 10, 2023"
24,"this mobile is value for money
battery life is good
simple looks without any changes than privious launched mobile
camra is ok not so good","Reviewed in India on January 9, 2023"
25,"don't buy this mobile,1 sal use karne k baad mobile totally dead ho gaya,mein baad mein services center geya to mujhe bole CPU damaged ho gaye,mein full care mein mobile rakh ta tha phir bhi mere saath aise huya plz dont buy redmi phone,Repair hone k baad kou guaranty nehi dia ki kitna aur chalega.mera redmi pe trust khatam ho gaya","Reviewed in India on January 6, 2023"
26,Camera doesn't work after 1 year of use. Having glitches.,"Reviewed in India on January 3, 2023"
27,"Please don't buy redmi phones.
They are removing all after software update
like fingerprint, cameras and displays damages.😐😐
Very disappointed with this phone.
The worst phone I have ever used.
I have many brand phones but the worst brand is redmi 🙃.
The feedback is very poor
I am not satisfied with this 😔😐.",Reviewed in India on 4 April 2021
28,Nice Camera. Nice Design. Nice Colour. Nice Finish. Sound system very good. Super Phone.,Reviewed in India on 23 August 2021
29,Paise West,"Reviewed in India on January 14, 2023"
30,"Good Mobile working fast, but bugs will irritate you. Camera is good but some time not perfect","Reviewed in India on January 14, 2023"
31,"Battery backup very bad, doesn't stay for not even half day for you a moderate using. The phone started to hang on the first day of usage, very disappointed","Reviewed in India on January 13, 2023"
32,Good mobile redmi 10 Pro Max best mobile and camera and battery long life good mobile,"Reviewed in India on January 11, 2023"
33,,"Reviewed in India on January 10, 2023"
34,,Reviewed in India on 4 April 2021
35,This is a piece of Sht. Dont buy. Really slow. Sometimes ut takes 3-5min to just make a payment with UPI. It took some time for mw to realize how slow it is as I am a very light user. By then crossed returns period.,Reviewed in India on 23 August 2021
36,"Screen shakes every time, hang every time, working slow, battery was 5000 mAh but performance like 2500 mAh, camera highlights 108 mp but performance like 5 mp camera.","Reviewed in India on January 2, 2023"
37,"after 1 and half year front camera not working, when I ask service center it is a board problem. not able to solve this problem. they are recommended to buy new phone instead repairing the this phone.
Not decide yourself to buy this..","Reviewed in India on December 31, 2022"
38,The front camera stopped working exactly 2 months after the 1year warranty was over....,"Reviewed in India on December 31, 2022"
39,"I won't reccomend this phone to anyone,the front camera stopped functioning just after the warranty period(19 th month) the company had extended the one year warranty by 18 month as mosy of the users had faced the same problems, the back camera quality is really bad under normal lighting , also had battery issues within an year. Hence got to know the motherboard is damaged poor quality for 22000.Don't go for redmi","Reviewed in India on December 31, 2022"
40,Don't buy redmi phones after update camera stopped working and they're charging 12000/- for the same .,"Reviewed in India on December 30, 2022"
41,"It's a very bad choice of phone in this brand . In my phone there is a huge problem in camera 📷. My phone's front camera is not working 😔 weather I use it for some months.
Please don't buy any Chinese phone.","Reviewed in India on December 30, 2022"
42,The human colour is totally different.,"Reviewed in India on December 27, 2022"
43,"Written after 3 months of daily use! Def recommended to humble peasants. This review is aimed at the college-goers or students in general, so y'all get a review from your age group and can know if it meets your needs or not.

First of, I must emphasize, this review is based on my experience with this device as a 20-year-old user. At this age, your average uses probably cover gaming, pretending to study, social media and casual browsing innit—respectively ^^ let's go through this one by one.

These days buying a new Android smartphone can take up to 40 comparison videos, 20 unboxing views and 10 reviews and performance videos on Youtube before you decide on your top 3 choices. After nearly two months of obsessively camping on Youtube and thirsting for any potential new smartphones - my choices were Redmi Note 11 (love the boxy design), Redmi Note 10 Pro (64 MP camera) and this one, Redmi Note 10 Pro Max (108MP Camera).

What made me pick this model in particular (Note 10 Pro Max) is the 108 MP camera, which this series' foreign counterpart has but without the ""max"" name. We Indians get the 64 MP variant as Pro, while those abroad get the 108 MP variant as Pro. This subtle difference made me go with Pro Max, because that is the proper equivalent to the Pro they get overseas!

Other than the camera part, Pro Max is not in any way different compared to the Pro. Write that down.
Aight no more chattering, I'll be precise and specific~

APPEARANCE AND DURABILITY: It's smooth, sexy, shiny and somewhat resistant to finger impressions (only the matte finish models like glacial blue and bronze, though. Black will unmistakably take your finger impression like you are giving your biometrics for Aadhaar card). So appearance-wise, what you'll get is a total hottie. A classic beauty. I had a hard time choosing between black and blue, but went with blue and I don't regret it.

Durability? I dropped it flat on the back in a busy market road on the first day and it! Survived! With zero scratches! Hallelujah :D
HOWEVER, do keep in mind that the Pro and Pro Max are delicate devices and miserably failed their durability test as quickly as I disappoint my parents. Please don't try to flaunt it and use phone cases :(

Performance: ARGH THE MIUI CAN BE A PAIN SOMETIMES! It's mostly clean, with no more bloatware as it once was but there are definite bugs here and there. They're negligible though, in the sense of the rare times the screen jumps or flickers from the shoddy UI.

Downside examples: The proximity sensor my god I haven't come across anything as annoying in all my years as an IOS and then Samsung user. I would get a call and place it on my ear and bam! The call starts recording, the video call begins, the call goes mute, and all sorts of nonsense. It's a hurdle every single day! So yes, expect some marginal frustrations from the few caveats that come with the MIUI (I'm on UI 13 now). but if we generously forgive this - it's worth the hassle.

Gaming: I am not a phone gamer, I have my dedicated consoles for that so I don't play here. But I wanted to give it a try for name's sake and Genshin Impact ran smoothly. Don't expect much with a higher frame or graphics setting, but if you want some casual and mid-serious gaming? More than good enough!

Frame rate: Meh I never use the 120Hz refresh rate. 60Hz is sufficient for my daily usage and gives me enough joy, extra battery life and an overall easily likeable experience. Nevertheless, you can feel like Batman racing through Gotham in his Batmobile if you use the 120Hz just for the fancies. It gets all buttery-smooth if that is what you dig, I guess.

Battery: I keep my charging between 20-80% because duh, Lithium batteries. So it charges to 80 like in 40 minutes. The 33W charger they provide is splendid!
Because I use my phone like I'm a boomer with a landline connection, it easily gives me 42 hours of juice after continuous browsing, scrolling through cat reels and texting with my non-existence social life. On complete standby mode, where I just call or text, it can go to even 50+ hours on battery saver mode. On normal usage, some gaming or watching anime - still at least 24 hours. On semi-heavy usage, which is when I multitask between several apps or tabs for studying, still 15-20+ hours.* On heavy usage, like watching movies or using Zoom for online class or something, 6-10 hours.

*These are all averages and are different for everyone, but this is to give you an idea of the capacity. I don't watch movies or play games so it can go on for days! With my daily average, I can go until 30 hours on standby.

Camera: Ah sometimes I feel like it's a professional camera and sometimes it feels like 12 MP, but I suppose it depends on how good at taking pictures you are. It's sufficient, and night mode is very crisp and generally beautiful. I personally prefer this to other phones' 64 MP, so I can be certain that Pro Max is a sure upgrade to the Pro variant. No complains here.

Music area: Dual speakers are amazing, they blast into your drums. Smooth experience, the lossless audio or other in-app equalizer feature amps it up and you get a pretty satisfactory time banging your head to K-pop or Radiohead.

Hate that they don't include earphones, but they do give you a clear case that will turn yellow in 2 months!

Also, the screen is large enough and gorgeous, you don't get a cheap experience. At this price point? Worth every penny. I got it locally in my hometown and with offers so it's cheaper, but if you wait for Amazon sales like the Great Indian Festival and all - you can get it for 16,599 or something without card or exchange offers! :D It's a complete bang for the buck.

In contrast to other brands in this price range, through my extensive research before buying this phone, I can tell you that this phone is not at all outdated even if it's been two years since its release. It's worth it, even with the lack of 5G and sometimes annoying bugs from the UI. It's good to go for at least the next 2-3 years, so you can finally buy that IPhone you want in the future. I don't regret going for this <3 as an utility device, it serves its purposes like a piece of cake.","Reviewed in India on December 27, 2022"
44,,Reviewed in India on 4 April 2021
45,This is a piece of Sht. Dont buy. Really slow. Sometimes ut takes 3-5min to just make a payment with UPI. It took some time for mw to realize how slow it is as I am a very light user. By then crossed returns period.,Reviewed in India on 23 August 2021
46,"Screen shakes every time, hang every time, working slow, battery was 5000 mAh but performance like 2500 mAh, camera highlights 108 mp but performance like 5 mp camera.","Reviewed in India on January 2, 2023"
47,Good,Reviewed in India on 4 April 2021
48,Simple athe powerful 😁,Reviewed in India on 23 August 2021
49,The product is good at this price,"Reviewed in India on December 26, 2022"
50,"Nice
Thanks","Reviewed in India on December 23, 2022"
51,"What looked like a decent phone ended up dead in 1.5 years, phone still looking brand new not even a scratch but completely dead. Service centre says need to change motherboard which will cost 14K.. served my purpose as long as it lasted,camera quality is good enough, ok battery life but it was having some or other software issues from starting.. Redmi proved why they shouldn't be believed.","Reviewed in India on December 23, 2022"
52,Nice prodect,"Reviewed in India on December 22, 2022"
53," Don't bye redmi phone very bad customer support redmi product is very bad ,I request to all go with other brands never bye redmi phone or accessories .I purchased note 10 Max with in 15 months camera dead after miui13 updtae ,this is the responsibility of company but, service center charging 12k ,","Reviewed in India on December 21, 2022"
54,Sprb,"Reviewed in India on December 18, 2022"
55,I am writing this review after using it for 1 year.. at first everything was good about this phone..camera quality.. functioning.. battery life..bt after one year there was an update in this phone.. unfortunately i did tht update and my front camera stopped working.. after tht i couldn't use my front camera.. even back camera will exit after taking a pic.. when I went to the service centre they told your mobile warranty period is over.. it's been 1 year and 1 month..so v can't repair it unless n until u pay the money.. they asked me to pay 80% of the MRP..that is 12000 ..i purchased this phone for 20k. Its better i purchase a new one .So never ever buy any redmi products,"Reviewed in India on December 17, 2022"
56,Camera is good but stop working in few days so i don't recommend to by this and service center will not help you,"Reviewed in India on December 16, 2022"
57,Good,Reviewed in India on 4 April 2021
58,Simple athe powerful 😁,Reviewed in India on 23 August 2021
59,The product is good at this price,"Reviewed in India on December 26, 2022"
60,"Nice
Thanks","Reviewed in India on December 23, 2022"
61,Exallant,Reviewed in India on 4 April 2021
62,,Reviewed in India on 23 August 2021
63,"The overall phone is still good in 2022 but one thing to miss is the 5G connection. Overall, processing and operations in the phone are smooth and easily can handle moderate usage. The battery is great, cameras are good, though could have been better but completely justifies the price at which it comes.","Reviewed in India on December 14, 2022"
64,"Overall its good , but facing Sound/ microphone issue from Day 1. microphone working and able to hear only if very close to mouth.","Reviewed in India on December 14, 2022"
65,Nice,"Reviewed in India on December 13, 2022"
66,"Please don't send damaged phones Don't cheet the costumer
Mi. Company now not giving updates also almost 1 year completed there is no update for Redmi Note 10 Pro max mobile...","Reviewed in India on December 12, 2022"
67,"I have purchased the Redmi Note 10 Pro Max on 27th of May, 2021 from Amazon. Last month I updated my phone's software to the latest version and since then my Phone's Front Camera is not working. I went to the Mi Service Center on 28th November 2022. They told us that the phone's warranty has expired after 547 days as per invoice. We received our phone after the ordering process on 7h June 2021. According to this 547 days have not been completed. They have estimated 12,000 rupees for the repair of a 17,000 rupee phone. They have told me that a software update has made the front camera stop working. Why should I pay 12 thousand for updating the software that has made my front camera stop working? This is not a software update sent by company it seems to be a virus.So Freinds beware From mi .","Reviewed in India on December 11, 2022"
68,"everything good. dialer, contact and sms incompatible. cannot be replaced with xiaomi apps. sold back for 5k less after using for few hours","Reviewed in India on December 11, 2022"
69,The speaker is already damaged in 3 months,"Reviewed in India on December 10, 2022"
70,"After updating the phone, firstly the front camera stopped working and then the whole phone became dead completely. Now they are asking 12k for motherboard replacement.

How is it my fault that the phone became dead after their software update? Pathetic company. Pathetic service. Never buy redmi phones again.","Reviewed in India on December 10, 2022"
