,comment,time
27,"I bought this mouse like a couple months ago from amazon, and its been working great for me. I have never had issues with response times or stuff like that. But recently since the past few weeks, the quality of connection of this mouse has dropped drastically. I find it lagging in game and during my editing process, it also keeps double clicking for some reason, or not registering clicks at all (sometimes). The hold on the left click isn't working properly and it disconnects the hold.

Also, the dpi change led stopped working around the same month that I got this mouse, but it wasn't THAT important so....

Conclusion: I have been using this mouse for quite some time, and it has been Awesome, the build, the fit in the hand, the response times, all great, just these few minor (but annoying) issues that have started popping up recently.

Thank You.",Reviewed in India on 29 December 2022
28,"Liked almost everything about it, except the thumb buttons, it is kinda hard to press that when in-game, but, maybe it is just me",Reviewed in India on 30 January 2023
29,"Even though my battery came dead i though well i can replace it but after i try to connect in every way possible this mouse to my laptop it just won't. I've replaced battery so atleast looks like mouse is working fine but dongle just won't connect. i've used a logitech wireless mouse before of my sister but it was a normal one but this. No device detected is the issue i've been getting and i've tried every solution in book. i'm gonna try to replace it but if it doesn't work then this was my worst purchase and i'm kinda disappointed with amazon.

Edit: so i ordered a replacement and it's working fine now.. not as good as my last Corsair one but i would rate it pretty high up there..","Reviewed in India on December 25, 2022"
30,Go for it if you have fixed budget,"Reviewed in India on December 23, 2022"
31,"I bought this mouse. The left click started malfunctioning within a year. Got it replaced. The next mouse also has the same problem now.
My friend has the same mouse and he has the same problem.","Reviewed in India on December 21, 2022"
32,Best for gaming and daily office usage,"Reviewed in India on December 21, 2022"
33,Lags after less than one months of use,"Reviewed in India on December 15, 2022"
34,The Hero sensor is best for fps gaming,"Reviewed in India on December 10, 2022"
35,"As far as gaming goes it might just give you an edge, but the best thing is, its damn comfortable to hold, it will feel natural, I use palm grip so its better from my point of view.","Reviewed in India on December 9, 2022"
36,Very nice for gaming. Just 1 tapped players in valorant with it,"Reviewed in India on December 8, 2022"
37,"I bought this mouse like a couple months ago from amazon, and its been working great for me. I have never had issues with response times or stuff like that. But recently since the past few weeks, the quality of connection of this mouse has dropped drastically. I find it lagging in game and during my editing process, it also keeps double clicking for some reason, or not registering clicks at all (sometimes). The hold on the left click isn't working properly and it disconnects the hold.

Also, the dpi change led stopped working around the same month that I got this mouse, but it wasn't THAT important so....

Conclusion: I have been using this mouse for quite some time, and it has been Awesome, the build, the fit in the hand, the response times, all great, just these few minor (but annoying) issues that have started popping up recently.

Thank You.",Reviewed in India on 29 December 2022
38,"Liked almost everything about it, except the thumb buttons, it is kinda hard to press that when in-game, but, maybe it is just me",Reviewed in India on 30 January 2023
39,"Even though my battery came dead i though well i can replace it but after i try to connect in every way possible this mouse to my laptop it just won't. I've replaced battery so atleast looks like mouse is working fine but dongle just won't connect. i've used a logitech wireless mouse before of my sister but it was a normal one but this. No device detected is the issue i've been getting and i've tried every solution in book. i'm gonna try to replace it but if it doesn't work then this was my worst purchase and i'm kinda disappointed with amazon.

Edit: so i ordered a replacement and it's working fine now.. not as good as my last Corsair one but i would rate it pretty high up there..","Reviewed in India on December 25, 2022"
40,Go for it if you have fixed budget,"Reviewed in India on December 23, 2022"
41,"I bought this mouse. The left click started malfunctioning within a year. Got it replaced. The next mouse also has the same problem now.
My friend has the same mouse and he has the same problem.","Reviewed in India on December 21, 2022"
42,Best for gaming and daily office usage,"Reviewed in India on December 21, 2022"
43,Lags after less than one months of use,"Reviewed in India on December 15, 2022"
44,The Hero sensor is best for fps gaming,"Reviewed in India on December 10, 2022"
45,"As far as gaming goes it might just give you an edge, but the best thing is, its damn comfortable to hold, it will feel natural, I use palm grip so its better from my point of view.","Reviewed in India on December 9, 2022"
46,Very nice for gaming. Just 1 tapped players in valorant with it,"Reviewed in India on December 8, 2022"
47,"Play Video
 Perfect for casual game
I don't know about pro scene, but I do play Valorant, Apex legends, some AAA titles
Zero complaint
Kept a Duracell battery AA , it's been a month, I checked in logitech software battery is still around 80%
So I can say no issue with battery and performance is just flawless
Go for it if you're budget is 2400
Also 2 year warranty is a big plus",Reviewed in India on 29 December 2022
48,"Trash mouse, not worth it in a year it got double click issue",Reviewed in India on 30 January 2023
49,Great mouse for gaming,Reviewed in India on 29 December 2022
50,It's a perfect budget killer ..... 12 to 13 cps butterfly clicking .Land jitter clicking both ...... awesome battery life ..... Clicks are super smooth ...... No statement for sensor it's already on a whole next level ...... If you are looking for a mouse around 3000 to 3500 go for it you won't regret it believe me ...... Yes it's a bit heavy like 99 grams but that can be managed using a AA battery with converter (I am using it that way and believe me it's perfect in weight balance after that) .... Overall best product 👍,Reviewed in India on 30 January 2023
51,Best Gaming at this price range.,"Reviewed in India on November 12, 2022"
52,"I have 5000 hours in Counter Strike: GO and my rank is 'The Global Elite', so trust me when I say this; you won't find a better gaming mouse than this (have tried G102, Zowie EC2-B, G302, G402, SteelSeries Rival series; can't recall exact model number).

I have been using this mouse for the past 2 years. Surprisingly, the Duracell battery lasts around 1 year in this mouse in performance mode. This is basically the Logitech G102, just wireless. Hand feel is great, fits perfectly, has the perfect weight balance and size. I don't know why anyone would prefer any other mouse.

For people complaining about the double-click issue, I agree because I just started facing this issue after 2 years. Thinking of buying the same mouse again though since this","Reviewed in India on November 8, 2022"
53,"Best in budget wireless gaming mice. Though click may malfunction after long term use, but then
every thing has certain lifespan. You can always replace micro click button with little bit of tech knowledge and tools.","Reviewed in India on November 8, 2022"
54,"Perfect mouse, loved the design and feel","Reviewed in India on November 4, 2022"
55,Great purchase,"Reviewed in India on November 4, 2022"
56,"So i got the mouse a couple months ago and it has been working fine since, i've faced no issues so far, well except the part that the logitech logo is kinda wearing off now, but im sure that most of us who are getting this mouse aren't getting it for the looks, but for the performance instead, becoz i believe that most of the ppl who are getting this are either serious gamers on a budget, or casual gamers who take things a bit more seriously than others.
Ghub works fine, dont listen to ppl crying that notifications pop when they change dpi, JUST DISABLE THE DPI OR TURN THE NOTIFICATOINS OFF DAMMID, OR JUST TURN FOCUS ASSIST MODE ON ON UR PC WHILE GAMING.
ghub keeps getting regular updates which is good to know becoz ik that the ppl over at logitech are keeping things in check
there are a ton of macro key functions which i haven't even touched becoz i just use this as a gaming primary mouse and i dont stream or somthn
okay im done writing this review, its 2 am and its getting late, just buy this if u prefer functionality and performance over looks.
oh also, it being wireless is a huge plus and you'll always find new mouse skates and stickers to customize it easily because logi is a huge brand (if you didnt know that then idk what type of rock you are living under) and almost most online stores have accessories for this mouse, okay thats it im done bei","Reviewed in India on November 3, 2022"
57,"When plam gripping, the mouse gets uncomfortable really quickly. That's my only concern. Hardware and software are great.","Reviewed in India on November 2, 2022"
58,Its good but after few months the wireless stopped working so I prefer everyone to buy the wired not the wireless,"Reviewed in India on October 30, 2022"
59,Great mouse for gaming,Reviewed in India on 29 December 2022
60,It's a perfect budget killer ..... 12 to 13 cps butterfly clicking .Land jitter clicking both ...... awesome battery life ..... Clicks are super smooth ...... No statement for sensor it's already on a whole next level ...... If you are looking for a mouse around 3000 to 3500 go for it you won't regret it believe me ...... Yes it's a bit heavy like 99 grams but that can be managed using a AA battery with converter (I am using it that way and believe me it's perfect in weight balance after that) .... Overall best product 👍,Reviewed in India on 30 January 2023
61,Best Gaming at this price range.,"Reviewed in India on November 12, 2022"
62,"I have 5000 hours in Counter Strike: GO and my rank is 'The Global Elite', so trust me when I say this; you won't find a better gaming mouse than this (have tried G102, Zowie EC2-B, G302, G402, SteelSeries Rival series; can't recall exact model number).

I have been using this mouse for the past 2 years. Surprisingly, the Duracell battery lasts around 1 year in this mouse in performance mode. This is basically the Logitech G102, just wireless. Hand feel is great, fits perfectly, has the perfect weight balance and size. I don't know why anyone would prefer any other mouse.

For people complaining about the double-click issue, I agree because I just started facing this issue after 2 years. Thinking of buying the same mouse again though since this","Reviewed in India on November 8, 2022"
63,"Best in budget wireless gaming mice. Though click may malfunction after long term use, but then
every thing has certain lifespan. You can always replace micro click button with little bit of tech knowledge and tools.","Reviewed in India on November 8, 2022"
64,"Perfect mouse, loved the design and feel","Reviewed in India on November 4, 2022"
65,Great purchase,"Reviewed in India on November 4, 2022"
66,"So i got the mouse a couple months ago and it has been working fine since, i've faced no issues so far, well except the part that the logitech logo is kinda wearing off now, but im sure that most of us who are getting this mouse aren't getting it for the looks, but for the performance instead, becoz i believe that most of the ppl who are getting this are either serious gamers on a budget, or casual gamers who take things a bit more seriously than others.
Ghub works fine, dont listen to ppl crying that notifications pop when they change dpi, JUST DISABLE THE DPI OR TURN THE NOTIFICATOINS OFF DAMMID, OR JUST TURN FOCUS ASSIST MODE ON ON UR PC WHILE GAMING.
ghub keeps getting regular updates which is good to know becoz ik that the ppl over at logitech are keeping things in check
there are a ton of macro key functions which i haven't even touched becoz i just use this as a gaming primary mouse and i dont stream or somthn
okay im done writing this review, its 2 am and its getting late, just buy this if u prefer functionality and performance over looks.
oh also, it being wireless is a huge plus and you'll always find new mouse skates and stickers to customize it easily because logi is a huge brand (if you didnt know that then idk what type of rock you are living under) and almost most online stores have accessories for this mouse, okay thats it im done bei","Reviewed in India on November 3, 2022"
67,"When plam gripping, the mouse gets uncomfortable really quickly. That's my only concern. Hardware and software are great.","Reviewed in India on November 2, 2022"
68,Its good but after few months the wireless stopped working so I prefer everyone to buy the wired not the wireless,"Reviewed in India on October 30, 2022"
69,"Got this mouse at 1800 on some sale from Amazon.
Mouse is good, design is perfect for my hand shape..
Upgraded from g102 because of shape.
Definately have a better sensor then g102.
Only problem is those cheap switches rated only at 10mil clicks
Not even 6 months after use started giving me mis click, double click and both won't stay on hold position.
Very annoying when u r playing fps games like Valorant.
Won't stay in ads.
Go for this mouse if u r prepared to go for RMA.
Or change those switches to better one.",Reviewed in India on 29 December 2022
70,"Mouse was working well for 10-11 months but from last month it developed the irritating double click issue. Honestly, it is really annoying that mouse registers double click on a single click in FPS games. Dissappointed over poor reliablility :(",Reviewed in India on 30 January 2023
71,sometimes doesn't respond quickly,"Reviewed in India on October 27, 2022"
72,"Mouse developed left click double click issue after 1 year. Google logitech double click if you don't know what it is.
Left click double click leaves the mouse unusable. No complaints in the first year but durability seems bad due to this widespread issue","Reviewed in India on October 23, 2022"
73,I love it as someone spends all day on computer for work,"Reviewed in India on October 23, 2022"
74,The mouse only works for a year. It has a major flaw of left/right click. My left click is not working. Even the the srcroll wheel button does not work at times now.,"Reviewed in India on October 16, 2022"
75,Nice mouse but the connectivity range is a bit low. I've to plugin in the dongle near it otherwise it starts showing deflections.,Reviewed in India on 29 December 2022
76,"I was a long time logitech fan for its keyboards and mouse. But seems they have compromised heavily on quality these days. This mouse has started the left click double click problem. I also use the Logitech M720 Tirathlon. That mouse also has same problem.

Not going to buy logitech again. Switching to Dell keyboards and mouse.",Reviewed in India on 30 January 2023
77,"It's a no fuss, decently priced mouse. It's super fast, balanced ergonomically and slides like a desperate desi guy to a IG models DM. Must buy for gamers and non gamers alike.

Cheers.","Reviewed in India on October 7, 2022"
78,Good product,"Reviewed in India on October 4, 2022"
79,Product was good to use but the shipping package was tampered and looks like someone tried to pry open the box during transit.,"Reviewed in India on October 3, 2022"
80,Great product,"Reviewed in India on October 3, 2022"
81,"This mouse with its featureset and the price point should be a no brainer for anyone looking to get a light (not super light) mouse which can daily drive as well as game fludily. However, the cas eisn't so because of a singular major issue- the left click ends up glitching after anyhwere from 5-6 months to a year. It starts double clicking thereby totally screwing up the ability to daily drive this mouse or even play most games which rely on the left click as a primary action like FPS, TPS etc.
You're better off getting something else in the same price rage or perhaps investing antoher 1000-200 and bumping up to a logitech 500 serie smouse or something from Razer, steel series, corsair, glorious, hperx etc.","Reviewed in India on October 3, 2022"
82,"The mouse is good, the lightspeed wireless when it works is perfect. But the constant double clicking issues after an year or so and the bad switch quality is what ruins it. I got it replaced 3 times in 2 years and the last one got a bad receiver. The quality control on this is the worst. I own g102 and g402 and both work much better consistently. This one, I'd have to hope it works everytime I start gaming. Avoid this and get a wired option or save up and buy a gpro.","Reviewed in India on October 2, 2022"
83,Good product,"Reviewed in India on September 30, 2022"
84,Great and balanced mouse. Features rich and best in the price segment.,"Reviewed in India on September 30, 2022"
